season,week,home_team,away_team,home_score,away_score,game_type,game_id,home_off_plays,home_off_epa_per_play,home_off_pass_plays,home_off_rush_plays,home_off_pass_epa,home_off_rush_epa,home_off_pass_rate,home_off_exp_pass_rate,home_off_proe,home_off_rroe,home_off_cume_epa_per_play,home_off_roll3_epa_per_play,home_off_ewm_epa_per_play,home_off_cume_pass_epa,home_off_roll3_pass_epa,home_off_ewm_pass_epa,home_off_cume_rush_epa,home_off_roll3_rush_epa,home_off_ewm_rush_epa,home_off_cume_pass_rate,home_off_roll3_pass_rate,home_off_ewm_pass_rate,home_off_cume_proe,home_off_roll3_proe,home_off_ewm_proe,home_off_cume_rroe,home_off_roll3_rroe,home_off_ewm_rroe,home_def_plays_def,home_def_epa_per_play_def,home_def_pass_plays_def,home_def_rush_plays_def,home_def_pass_epa_def,home_def_rush_epa_def,home_def_pass_rate_def,home_def_cume_epa_per_play_def,home_def_roll3_epa_per_play_def,home_def_ewm_epa_per_play_def,home_def_cume_pass_epa_def,home_def_roll3_pass_epa_def,home_def_ewm_pass_epa_def,home_def_cume_rush_epa_def,home_def_roll3_rush_epa_def,home_def_ewm_rush_epa_def,home_def_cume_pass_rate_def,home_def_roll3_pass_rate_def,home_def_ewm_pass_rate_def,away_off_plays,away_off_epa_per_play,away_off_pass_plays,away_off_rush_plays,away_off_pass_epa,away_off_rush_epa,away_off_pass_rate,away_off_exp_pass_rate,away_off_proe,away_off_rroe,away_off_cume_epa_per_play,away_off_roll3_epa_per_play,away_off_ewm_epa_per_play,away_off_cume_pass_epa,away_off_roll3_pass_epa,away_off_ewm_pass_epa,away_off_cume_rush_epa,away_off_roll3_rush_epa,away_off_ewm_rush_epa,away_off_cume_pass_rate,away_off_roll3_pass_rate,away_off_ewm_pass_rate,away_off_cume_proe,away_off_roll3_proe,away_off_ewm_proe,away_off_cume_rroe,away_off_roll3_rroe,away_off_ewm_rroe,away_def_plays_def,away_def_epa_per_play_def,away_def_pass_plays_def,away_def_rush_plays_def,away_def_pass_epa_def,away_def_rush_epa_def,away_def_pass_rate_def,away_def_cume_epa_per_play_def,away_def_roll3_epa_per_play_def,away_def_ewm_epa_per_play_def,away_def_cume_pass_epa_def,away_def_roll3_pass_epa_def,away_def_ewm_pass_epa_def,away_def_cume_rush_epa_def,away_def_roll3_rush_epa_def,away_def_ewm_rush_epa_def,away_def_cume_pass_rate_def,away_def_roll3_pass_rate_def,away_def_ewm_pass_rate_def,home_field
2020,1,KC,HOU,34,20,REG,2020_01_HOU_KC,85,0.22909232946526137,35,34,0.4758553506450639,0.009846423725709874,0.4117647058823529,0.5766515779578175,-0.1648868720754646,0.1648868720754646,0.024413513075700853,0.01165958486203952,0.015443840046756264,0.13089468665366516,0.11045642721242878,0.11847324913252254,-0.07302497266739556,-0.08297475821755326,-0.08136638164757232,0.4891093490872649,0.490880018786678,0.48967828489134957,-0.1482216432041502,-0.14786493424673944,-0.1481002838760727,0.1482216432041502,0.14786493424673944,0.1481002838760727,74,0.07262056547219489,41,17,0.0869436493432103,0.3101354534429608,0.5540540540540541,0.024190022197431306,0.011982363190128294,0.01442148143575195,0.12782975071410416,0.10523713222779853,0.11339417762006872,-0.08467189103572006,-0.0931806340006743,-0.09514630312251467,0.4880003006689255,0.4859891458415078,0.487300986263724,74,0.07262056547219489,41,17,0.0869436493432103,0.3101354534429608,0.5540540540540541,0.6338358179099279,-0.07978176385587388,0.07978176385587388,0.025658323072014644,0.018412629853725843,0.01717965898922483,0.12656856872349664,0.11231565656586857,0.11236759393423748,-0.07955641989261017,-0.08665927944532702,-0.08912655449607058,0.48658368163907023,0.4848969319569077,0.48545916381242016,-0.14985117866189174,-0.15166196447225452,-0.15107148847409319,0.1498511786618917,0.15166196447225452,0.15107148847409319,85,0.22909232946526137,35,34,0.4758553506450639,0.009846423725709874,0.4117647058823529,0.025211614089347623,0.018089851525637073,0.01815063376078548,0.12853217490392949,0.11753495155049881,0.11719953614854936,-0.0686953292574399,-0.07645340366220597,-0.07514767915277965,0.48859039668208115,0.4897878049020779,0.4878957142973289,1.0
2020,1,ATL,SEA,25,38,REG,2020_01_SEA_ATL,96,-0.011466286956078584,59,21,0.10463757256059576,-0.3335744766134374,0.6145833333333334,0.6207680114383677,-0.006184678105034314,0.006184678105034314,0.024413513075700853,0.01165958486203952,0.015443840046756264,0.13089468665366516,0.11045642721242878,0.11847324913252254,-0.07302497266739556,-0.08297475821755326,-0.08136638164757232,0.4891093490872649,0.490880018786678,0.48967828489134957,-0.1482216432041502,-0.14786493424673944,-0.1481002838760727,0.1482216432041502,0.14786493424673944,0.1481002838760727,82,0.22257996766965008,42,19,0.5642309649142949,-0.11414020320578282,0.5121951219512195,0.024190022197431306,0.011982363190128294,0.01442148143575195,0.12782975071410416,0.10523713222779853,0.11339417762006872,-0.08467189103572006,-0.0931806340006743,-0.09514630312251467,0.4880003006689255,0.4859891458415078,0.487300986263724,82,0.22257996766965008,42,19,0.5642309649142949,-0.11414020320578282,0.5121951219512195,0.6368496585005965,-0.12465453654937697,0.12465453654937697,0.025658323072014644,0.018412629853725843,0.01717965898922483,0.12656856872349664,0.11231565656586857,0.11236759393423748,-0.07955641989261017,-0.08665927944532702,-0.08912655449607058,0.48658368163907023,0.4848969319569077,0.48545916381242016,-0.14985117866189174,-0.15166196447225452,-0.15107148847409319,0.1498511786618917,0.15166196447225452,0.15107148847409319,96,-0.011466286956078584,59,21,0.10463757256059576,-0.3335744766134374,0.6145833333333334,0.025211614089347623,0.018089851525637073,0.01815063376078548,0.12853217490392949,0.11753495155049881,0.11719953614854936,-0.0686953292574399,-0.07645340366220597,-0.07514767915277965,0.48859039668208115,0.4897878049020779,0.4878957142973289,1.0
2020,1,BAL,CLE,38,6,REG,2020_01_CLE_BAL,74,0.18318224775075118,31,27,0.49667908416577755,-0.19346457690052274,0.4189189189189189,0.6577016060464059,-0.23878268712748701,0.23878268712748707,0.024413513075700853,0.01165958486203952,0.015443840046756264,0.13089468665366516,0.11045642721242878,0.11847324913252254,-0.07302497266739556,-0.08297475821755326,-0.08136638164757232,0.4891093490872649,0.490880018786678,0.48967828489134957,-0.1482216432041502,-0.14786493424673944,-0.1481002838760727,0.1482216432041502,0.14786493424673944,0.1481002838760727,89,-0.24444769304575392,48,25,-0.16475513938528388,-0.23005474071251228,0.5393258426966292,0.024190022197431306,0.011982363190128294,0.01442148143575195,0.12782975071410416,0.10523713222779853,0.11339417762006872,-0.08467189103572006,-0.0931806340006743,-0.09514630312251467,0.4880003006689255,0.4859891458415078,0.487300986263724,89,-0.24444769304575392,48,25,-0.16475513938528388,-0.23005474071251228,0.5393258426966292,0.65971682540739,-0.12039098271076076,0.12039098271076076,0.025658323072014644,0.018412629853725843,0.01717965898922483,0.12656856872349664,0.11231565656586857,0.11236759393423748,-0.07955641989261017,-0.08665927944532702,-0.08912655449607058,0.48658368163907023,0.4848969319569077,0.48545916381242016,-0.14985117866189174,-0.15166196447225452,-0.15107148847409319,0.1498511786618917,0.15166196447225452,0.15107148847409319,74,0.18318224775075118,31,27,0.49667908416577755,-0.19346457690052274,0.4189189189189189,0.025211614089347623,0.018089851525637073,0.01815063376078548,0.12853217490392949,0.11753495155049881,0.11719953614854936,-0.0686953292574399,-0.07645340366220597,-0.07514767915277965,0.48859039668208115,0.4897878049020779,0.4878957142973289,1.0
2020,1,BUF,NYJ,27,17,REG,2020_01_NYJ_BUF,101,0.030065817756856267,56,29,0.4290822107458668,-0.5436207156399756,0.5544554455445545,0.6307186840592809,-0.07626323851472638,0.07626323851472638,0.024413513075700853,0.01165958486203952,0.015443840046756264,0.13089468665366516,0.11045642721242878,0.11847324913252254,-0.07302497266739556,-0.08297475821755326,-0.08136638164757232,0.4891093490872649,0.490880018786678,0.48967828489134957,-0.1482216432041502,-0.14786493424673944,-0.1481002838760727,0.1482216432041502,0.14786493424673944,0.1481002838760727,74,-0.12453254541212423,39,15,-0.17484997781754757,0.12084146973793394,0.527027027027027,0.024190022197431306,0.011982363190128294,0.01442148143575195,0.12782975071410416,0.10523713222779853,0.11339417762006872,-0.08467189103572006,-0.0931806340006743,-0.09514630312251467,0.4880003006689255,0.4859891458415078,0.487300986263724,74,-0.12453254541212423,39,15,-0.17484997781754757,0.12084146973793394,0.527027027027027,0.6484949141465575,-0.1214678871195305,0.1214678871195305,0.025658323072014644,0.018412629853725843,0.01717965898922483,0.12656856872349664,0.11231565656586857,0.11236759393423748,-0.07955641989261017,-0.08665927944532702,-0.08912655449607058,0.48658368163907023,0.4848969319569077,0.48545916381242016,-0.14985117866189174,-0.15166196447225452,-0.15107148847409319,0.1498511786618917,0.15166196447225452,0.15107148847409319,101,0.030065817756856267,56,29,0.4290822107458668,-0.5436207156399756,0.5544554455445545,0.025211614089347623,0.018089851525637073,0.01815063376078548,0.12853217490392949,0.11753495155049881,0.11719953614854936,-0.0686953292574399,-0.07645340366220597,-0.07514767915277965,0.48859039668208115,0.4897878049020779,0.4878957142973289,1.0
2020,1,CAR,LV,30,34,REG,2020_01_LV_CAR,83,0.13473885667369093,41,26,0.22592052730609252,0.04210893587039139,0.4939759036144578,0.6257682137506381,-0.13179231013618026,0.1317923101361803,0.024413513075700853,0.01165958486203952,0.015443840046756264,0.13089468665366516,0.11045642721242878,0.11847324913252254,-0.07302497266739556,-0.08297475821755326,-0.08136638164757232,0.4891093490872649,0.490880018786678,0.48967828489134957,-0.1482216432041502,-0.14786493424673944,-0.1481002838760727,0.1482216432041502,0.14786493424673944,0.1481002838760727,80,0.24181662292142328,32,31,0.4335551195830319,0.13865174526900745,0.4,0.024190022197431306,0.011982363190128294,0.01442148143575195,0.12782975071410416,0.10523713222779853,0.11339417762006872,-0.08467189103572006,-0.0931806340006743,-0.09514630312251467,0.4880003006689255,0.4859891458415078,0.487300986263724,80,0.24181662292142328,32,31,0.4335551195830319,0.13865174526900745,0.4,0.61157971977317,-0.21157971977317003,0.21157971977317003,0.025658323072014644,0.018412629853725843,0.01717965898922483,0.12656856872349664,0.11231565656586857,0.11236759393423748,-0.07955641989261017,-0.08665927944532702,-0.08912655449607058,0.48658368163907023,0.4848969319569077,0.48545916381242016,-0.14985117866189174,-0.15166196447225452,-0.15107148847409319,0.1498511786618917,0.15166196447225452,0.15107148847409319,83,0.13473885667369093,41,26,0.22592052730609252,0.04210893587039139,0.4939759036144578,0.025211614089347623,0.018089851525637073,0.01815063376078548,0.12853217490392949,0.11753495155049881,0.11719953614854936,-0.0686953292574399,-0.07645340366220597,-0.07514767915277965,0.48859039668208115,0.4897878049020779,0.4878957142973289,1.0
2020,1,DET,CHI,23,27,REG,2020_01_CHI_DET,98,-0.034952535228546924,50,27,0.09797868304711457,-0.20018522874818667,0.5102040816326531,0.645578339905911,-0.13537425827325789,0.13537425827325789,0.024413513075700853,0.01165958486203952,0.015443840046756264,0.13089468665366516,0.11045642721242878,0.11847324913252254,-0.07302497266739556,-0.08297475821755326,-0.08136638164757232,0.4891093490872649,0.490880018786678,0.48967828489134957,-0.1482216432041502,-0.14786493424673944,-0.1481002838760727,0.1482216432041502,0.14786493424673944,0.1481002838760727,84,0.045191876378626865,39,26,0.12367159839723968,0.09288443877840809,0.4642857142857143,0.024190022197431306,0.011982363190128294,0.01442148143575195,0.12782975071410416,0.10523713222779853,0.11339417762006872,-0.08467189103572006,-0.0931806340006743,-0.09514630312251467,0.4880003006689255,0.4859891458415078,0.487300986263724,84,0.045191876378626865,39,26,0.12367159839723968,0.09288443877840809,0.4642857142857143,0.6314287237947175,-0.16714300950900318,0.16714300950900318,0.025658323072014644,0.018412629853725843,0.01717965898922483,0.12656856872349664,0.11231565656586857,0.11236759393423748,-0.07955641989261017,-0.08665927944532702,-0.08912655449607058,0.48658368163907023,0.4848969319569077,0.48545916381242016,-0.14985117866189174,-0.15166196447225452,-0.15107148847409319,0.1498511786618917,0.15166196447225452,0.15107148847409319,98,-0.034952535228546924,50,27,0.09797868304711457,-0.20018522874818667,0.5102040816326531,0.025211614089347623,0.018089851525637073,0.01815063376078548,0.12853217490392949,0.11753495155049881,0.11719953614854936,-0.0686953292574399,-0.07645340366220597,-0.07514767915277965,0.48859039668208115,0.4897878049020779,0.4878957142973289,1.0
2020,1,JAX,IND,27,20,REG,2020_01_IND_JAX,65,0.1648353107973685,29,20,0.32016542654688374,-0.08863148502714466,0.4461538461538462,0.6507599944221704,-0.20460614826832418,0.20460614826832424,0.024413513075700853,0.01165958486203952,0.015443840046756264,0.13089468665366516,0.11045642721242878,0.11847324913252254,-0.07302497266739556,-0.08297475821755326,-0.08136638164757232,0.4891093490872649,0.490880018786678,0.48967828489134957,-0.1482216432041502,-0.14786493424673944,-0.1481002838760727,0.1482216432041502,0.14786493424673944,0.1481002838760727,87,0.03678822982421931,51,23,0.23920451479784524,-0.3475286030936885,0.5862068965517241,0.024190022197431306,0.011982363190128294,0.01442148143575195,0.12782975071410416,0.10523713222779853,0.11339417762006872,-0.08467189103572006,-0.0931806340006743,-0.09514630312251467,0.4880003006689255,0.4859891458415078,0.487300986263724,87,0.03678822982421931,51,23,0.23920451479784524,-0.3475286030936885,0.5862068965517241,0.6259927401740967,-0.039785843622372585,0.039785843622372585,0.025658323072014644,0.018412629853725843,0.01717965898922483,0.12656856872349664,0.11231565656586857,0.11236759393423748,-0.07955641989261017,-0.08665927944532702,-0.08912655449607058,0.48658368163907023,0.4848969319569077,0.48545916381242016,-0.14985117866189174,-0.15166196447225452,-0.15107148847409319,0.1498511786618917,0.15166196447225452,0.15107148847409319,65,0.1648353107973685,29,20,0.32016542654688374,-0.08863148502714466,0.4461538461538462,0.025211614089347623,0.018089851525637073,0.01815063376078548,0.12853217490392949,0.11753495155049881,0.11719953614854936,-0.0686953292574399,-0.07645340366220597,-0.07514767915277965,0.48859039668208115,0.4897878049020779,0.4878957142973289,1.0
2020,1,MIN,GB,34,43,REG,2020_01_GB_MIN,67,0.22834986709118227,32,20,0.29498233845852273,0.33397886158055623,0.47761194029850745,0.576452717549864,-0.09884077725135659,0.09884077725135654,0.024413513075700853,0.01165958486203952,0.015443840046756264,0.13089468665366516,0.11045642721242878,0.11847324913252254,-0.07302497266739556,-0.08297475821755326,-0.08136638164757232,0.4891093490872649,0.490880018786678,0.48967828489134957,-0.1482216432041502,-0.14786493424673944,-0.1481002838760727,0.1482216432041502,0.14786493424673944,0.1481002838760727,96,0.27944339596811607,45,31,0.40657003255996194,0.14494956578052934,0.46875,0.024190022197431306,0.011982363190128294,0.01442148143575195,0.12782975071410416,0.10523713222779853,0.11339417762006872,-0.08467189103572006,-0.0931806340006743,-0.09514630312251467,0.4880003006689255,0.4859891458415078,0.487300986263724,96,0.27944339596811607,45,31,0.40657003255996194,0.14494956578052934,0.46875,0.61007714649678,-0.14132714649678002,0.14132714649678002,0.025658323072014644,0.018412629853725843,0.01717965898922483,0.12656856872349664,0.11231565656586857,0.11236759393423748,-0.07955641989261017,-0.08665927944532702,-0.08912655449607058,0.48658368163907023,0.4848969319569077,0.48545916381242016,-0.14985117866189174,-0.15166196447225452,-0.15107148847409319,0.1498511786618917,0.15166196447225452,0.15107148847409319,67,0.22834986709118227,32,20,0.29498233845852273,0.33397886158055623,0.47761194029850745,0.025211614089347623,0.018089851525637073,0.01815063376078548,0.12853217490392949,0.11753495155049881,0.11719953614854936,-0.0686953292574399,-0.07645340366220597,-0.07514767915277965,0.48859039668208115,0.4897878049020779,0.4878957142973289,1.0
2020,1,NE,MIA,21,11,REG,2020_01_MIA_NE,77,0.10986531064729015,23,40,-0.09809508621085274,0.3222083351009367,0.2987012987012987,0.6082501321315774,-0.3095488334302787,0.3095488334302787,0.024413513075700853,0.01165958486203952,0.015443840046756264,0.13089468665366516,0.11045642721242878,0.11847324913252254,-0.07302497266739556,-0.08297475821755326,-0.08136638164757232,0.4891093490872649,0.490880018786678,0.48967828489134957,-0.1482216432041502,-0.14786493424673944,-0.1481002838760727,0.1482216432041502,0.14786493424673944,0.1481002838760727,71,-0.023891396898632004,37,24,-0.03752704321964402,-0.06102550630445088,0.5211267605633803,0.024190022197431306,0.011982363190128294,0.01442148143575195,0.12782975071410416,0.10523713222779853,0.11339417762006872,-0.08467189103572006,-0.0931806340006743,-0.09514630312251467,0.4880003006689255,0.4859891458415078,0.487300986263724,71,-0.023891396898632004,37,24,-0.03752704321964402,-0.06102550630445088,0.5211267605633803,0.6189138422267882,-0.097787081663408,0.097787081663408,0.025658323072014644,0.018412629853725843,0.01717965898922483,0.12656856872349664,0.11231565656586857,0.11236759393423748,-0.07955641989261017,-0.08665927944532702,-0.08912655449607058,0.48658368163907023,0.4848969319569077,0.48545916381242016,-0.14985117866189174,-0.15166196447225452,-0.15107148847409319,0.1498511786618917,0.15166196447225452,0.15107148847409319,77,0.10986531064729015,23,40,-0.09809508621085274,0.3222083351009367,0.2987012987012987,0.025211614089347623,0.018089851525637073,0.01815063376078548,0.12853217490392949,0.11753495155049881,0.11719953614854936,-0.0686953292574399,-0.07645340366220597,-0.07514767915277965,0.48859039668208115,0.4897878049020779,0.4878957142973289,1.0
2020,1,WAS,PHI,27,17,REG,2020_01_PHI_WAS,91,-0.11429535126894524,36,31,-0.04913721155117818,-0.2818357522370324,0.3956043956043956,0.6521564283464358,-0.25655203274204025,0.2565520327420403,0.024413513075700853,0.01165958486203952,0.015443840046756264,0.13089468665366516,0.11045642721242878,0.11847324913252254,-0.07302497266739556,-0.08297475821755326,-0.08136638164757232,0.4891093490872649,0.490880018786678,0.48967828489134957,-0.1482216432041502,-0.14786493424673944,-0.1481002838760727,0.1482216432041502,0.14786493424673944,0.1481002838760727,87,-0.22262308335906486,51,17,-0.365624253835679,-0.05381838335340623,0.5862068965517241,0.024190022197431306,0.011982363190128294,0.01442148143575195,0.12782975071410416,0.10523713222779853,0.11339417762006872,-0.08467189103572006,-0.0931806340006743,-0.09514630312251467,0.4880003006689255,0.4859891458415078,0.487300986263724,87,-0.22262308335906486,51,17,-0.365624253835679,-0.05381838335340623,0.5862068965517241,0.6528264378543656,-0.06661954130264147,0.06661954130264147,0.025658323072014644,0.018412629853725843,0.01717965898922483,0.12656856872349664,0.11231565656586857,0.11236759393423748,-0.07955641989261017,-0.08665927944532702,-0.08912655449607058,0.48658368163907023,0.4848969319569077,0.48545916381242016,-0.14985117866189174,-0.15166196447225452,-0.15107148847409319,0.1498511786618917,0.15166196447225452,0.15107148847409319,91,-0.11429535126894524,36,31,-0.04913721155117818,-0.2818357522370324,0.3956043956043956,0.025211614089347623,0.018089851525637073,0.01815063376078548,0.12853217490392949,0.11753495155049881,0.11719953614854936,-0.0686953292574399,-0.07645340366220597,-0.07514767915277965,0.48859039668208115,0.4897878049020779,0.4878957142973289,1.0
