season,down,ydstogo_bin,yardline_bin,exp_pass_prob
2020,1.0,long,back,0.5434047145847016
2020,1.0,long,deep,0.4613588553722281
2020,1.0,long,front,0.5189248987522911
2020,1.0,long,mid,0.5459011660579189
2020,1.0,long,red,0.4822297839007502
2020,1.0,med,back,0.5389500463550742
2020,1.0,med,deep,0.40107064694166183
2020,1.0,med,front,0.5862888018290202
2020,1.0,med,mid,0.5049613682891835
2020,1.0,med,red,0.43910735149899227
2020,1.0,short,red,0.3225317925119247
2020,1.0,xl,back,0.7006610617041588
2020,1.0,xl,deep,0.5913875807415355
2020,1.0,xl,front,0.6908732423186302
2020,1.0,xl,mid,0.7315756464377046
2020,1.0,xl,red,0.6924074987570444
2020,1.0,xlplus,back,0.7207359134791845
2020,1.0,xlplus,deep,0.656400887966156
2020,1.0,xlplus,front,0.7220115225624155
2020,1.0,xlplus,mid,0.7596830585554465
2020,1.0,xlplus,red,0.7965143654081557
2020,2.0,long,back,0.6801246875088506
2020,2.0,long,deep,0.6301339690509724
2020,2.0,long,front,0.6915127210978903
2020,2.0,long,mid,0.6904370937151794
2020,2.0,long,red,0.7218801550449354
2020,2.0,med,back,0.6082711614299999
2020,2.0,med,deep,0.5733858059900694
2020,2.0,med,front,0.6001550396706721
2020,2.0,med,mid,0.6007850695051031
2020,2.0,med,red,0.5913395202695327
2020,2.0,short,back,0.40957589491164725
2020,2.0,short,deep,0.3968199778932567
2020,2.0,short,front,0.38647877409881937
2020,2.0,short,mid,0.40246574760826886
2020,2.0,short,red,0.40464546142322233
2020,2.0,xl,back,0.8022327719813569
2020,2.0,xl,deep,0.7031218265242214
2020,2.0,xl,front,0.7952740126431493
2020,2.0,xl,mid,0.815835022207466
2020,2.0,xl,red,0.8408666674083877
2020,2.0,xlplus,back,0.8245690203247926
2020,2.0,xlplus,deep,0.7513112589491137
2020,2.0,xlplus,front,0.8417386354584443
2020,2.0,xlplus,mid,0.8332949911672918
2020,2.0,xlplus,red,0.8389866987864176
2020,3.0,long,back,0.9613132528129622
2020,3.0,long,deep,0.9350456422793546
2020,3.0,long,front,0.9486496359206954
2020,3.0,long,mid,0.9634855286619528
2020,3.0,long,red,0.9691203052949424
2020,3.0,med,back,0.9510014449297708
2020,3.0,med,deep,0.9153948293087331
2020,3.0,med,front,0.9204384596237252
2020,3.0,med,mid,0.9419490198990638
2020,3.0,med,red,0.9285615584725198
2020,3.0,short,back,0.6267451863925779
2020,3.0,short,deep,0.5995091317993838
2020,3.0,short,front,0.5619487385253858
2020,3.0,short,mid,0.6133344912507238
2020,3.0,short,red,0.5563338747538558
2020,3.0,xl,back,0.9509557562344002
2020,3.0,xl,deep,0.9105389600992203
2020,3.0,xl,front,0.9103172027080515
2020,3.0,xl,mid,0.9532805418169032
2020,3.0,xl,red,0.9386323283116023
2020,3.0,xlplus,back,0.8305315718291297
2020,3.0,xlplus,deep,0.7914051642784705
2020,3.0,xlplus,front,0.8491608103714794
2020,3.0,xlplus,mid,0.9198562593860481
2020,3.0,xlplus,red,0.9358613812006437
2020,4.0,long,back,0.9292687961929723
2020,4.0,long,deep,0.6697097182273865
2020,4.0,long,front,0.9457318826957986
2020,4.0,long,mid,0.9034210778772831
2020,4.0,long,red,0.9820865264960698
2020,4.0,med,back,0.8661052504101315
2020,4.0,med,deep,0.8891994754473368
2020,4.0,med,front,0.9258091485705869
2020,4.0,med,mid,0.8934334125675139
2020,4.0,med,red,0.9276565477252007
2020,4.0,short,back,0.3656725608617873
2020,4.0,short,deep,0.32808440923690796
2020,4.0,short,front,0.4934193937546888
2020,4.0,short,mid,0.4344218648513969
2020,4.0,short,red,0.47531900211394607
2020,4.0,xl,back,0.8400158820052942
2020,4.0,xl,deep,0.8201857089996338
2020,4.0,xl,front,0.8655095249414444
2020,4.0,xl,mid,0.9699689586957295
2020,4.0,xl,red,0.9790493647257487
2020,4.0,xlplus,back,0.8591821762648496
2020,4.0,xlplus,deep,0.8466000987423791
2020,4.0,xlplus,front,0.8639333898370917
2020,4.0,xlplus,mid,0.9502622105858543
2020,4.0,xlplus,red,0.9749600887298584
2020,,short,front,
2020,,short,mid,
2020,,short,red,
2020,,short,unk,
2021,1.0,long,back,0.5449249143735573
2021,1.0,long,deep,0.46016448373479923
2021,1.0,long,front,0.514790639228441
2021,1.0,long,mid,0.5443641172013404
2021,1.0,long,red,0.470787869059274
2021,1.0,med,back,0.47885134177548544
2021,1.0,med,deep,0.3775637745857239
2021,1.0,med,front,0.547253626991402
2021,1.0,med,mid,0.5952905554856572
2021,1.0,med,red,0.4456444385929316
2021,1.0,short,red,0.33128316273801345
2021,1.0,xl,back,0.7137843307994661
2021,1.0,xl,deep,0.545559225337846
2021,1.0,xl,front,0.7419459020837824
2021,1.0,xl,mid,0.7255735830876274
2021,1.0,xl,red,0.621475987136364
2021,1.0,xlplus,back,0.7439446882047551
2021,1.0,xlplus,deep,0.6348949278273234
2021,1.0,xlplus,front,0.7422936263511766
2021,1.0,xlplus,mid,0.7613474970802347
2021,1.0,xlplus,red,0.7490194896856944
2021,2.0,long,back,0.6824006301079136
2021,2.0,long,deep,0.62771128051771
2021,2.0,long,front,0.6948848372919246
2021,2.0,long,mid,0.6927303763321874
2021,2.0,long,red,0.7108883400394103
2021,2.0,med,back,0.605676464617322
2021,2.0,med,deep,0.578607842709138
2021,2.0,med,front,0.5857250915236167
2021,2.0,med,mid,0.6008054642714985
2021,2.0,med,red,0.6065801244744278
2021,2.0,short,back,0.39824720534779146
2021,2.0,short,deep,0.41661667538916364
2021,2.0,short,front,0.39064979835186986
2021,2.0,short,mid,0.4171548154269436
2021,2.0,short,red,0.3874662121045677
2021,2.0,xl,back,0.808785955341929
2021,2.0,xl,deep,0.6951964172496371
2021,2.0,xl,front,0.7716928768611739
2021,2.0,xl,mid,0.8064630018271479
2021,2.0,xl,red,0.8151339637854743
2021,2.0,xlplus,back,0.8371258623559367
2021,2.0,xlplus,deep,0.7381244068417478
2021,2.0,xlplus,front,0.8220201447313907
2021,2.0,xlplus,mid,0.8467433719492671
2021,2.0,xlplus,red,0.8871998180945714
2021,3.0,long,back,0.9646618924968119
2021,3.0,long,deep,0.910074605188076
2021,3.0,long,front,0.9258338615136803
2021,3.0,long,mid,0.9529806790504478
2021,3.0,long,red,0.9495048587157474
2021,3.0,med,back,0.9519354736136849
2021,3.0,med,deep,0.9376561580829217
2021,3.0,med,front,0.9133219808386064
2021,3.0,med,mid,0.941709887915741
2021,3.0,med,red,0.9253052384536936
2021,3.0,short,back,0.6369757177424618
2021,3.0,short,deep,0.6259408702636943
2021,3.0,short,front,0.5850328555376471
2021,3.0,short,mid,0.5881969109177589
2021,3.0,short,red,0.5588182923356457
2021,3.0,xl,back,0.9474934413554562
2021,3.0,xl,deep,0.9010005051580569
2021,3.0,xl,front,0.8921512649470085
2021,3.0,xl,mid,0.9423867515519838
2021,3.0,xl,red,0.9410940530479596
2021,3.0,xlplus,back,0.8696186668825465
2021,3.0,xlplus,deep,0.7946003828106857
2021,3.0,xlplus,front,0.8751298190980423
2021,3.0,xlplus,mid,0.9172924085825431
2021,3.0,xlplus,red,0.8906140522710209
2021,4.0,long,back,0.8817386157584913
2021,4.0,long,deep,0.7537844367325306
2021,4.0,long,front,0.9278749864676903
2021,4.0,long,mid,0.9347929734932748
2021,4.0,long,red,0.9147350033124287
2021,4.0,med,back,0.8322860256389335
2021,4.0,med,deep,0.8803201615810394
2021,4.0,med,front,0.899431373144305
2021,4.0,med,mid,0.9001244535184887
2021,4.0,med,red,0.9264891393482685
2021,4.0,short,back,0.3837218731218441
2021,4.0,short,deep,0.17449840679764747
2021,4.0,short,front,0.489145909407124
2021,4.0,short,mid,0.45296671315161297
2021,4.0,short,red,0.5204296287737394
2021,4.0,xl,back,0.8988230261537764
2021,4.0,xl,deep,0.6333789428075155
2021,4.0,xl,front,0.8774589651823044
2021,4.0,xl,mid,0.8694735519587994
2021,4.0,xl,red,0.9855422576268514
2021,4.0,xlplus,back,0.7276867131392161
2021,4.0,xlplus,deep,0.7807897232911166
2021,4.0,xlplus,front,0.8756645411252976
2021,4.0,xlplus,mid,0.9003011617395613
2021,4.0,xlplus,red,0.9799060026804606
2021,,short,front,
2021,,short,mid,
2021,,short,red,
2021,,short,unk,
2022,1.0,long,back,0.5426156270698274
2022,1.0,long,deep,0.4635827936454127
2022,1.0,long,front,0.5122138202534519
2022,1.0,long,mid,0.5436666187800684
2022,1.0,long,red,0.4787327844283913
2022,1.0,med,back,0.539447901689488
2022,1.0,med,deep,0.5113400866587957
2022,1.0,med,front,0.5227691624313593
2022,1.0,med,mid,0.6021642064054807
2022,1.0,med,red,0.4509118284843862
2022,1.0,short,mid,0.1991102173924446
2022,1.0,short,red,0.33431209155764335
2022,1.0,xl,back,0.7116622708604804
2022,1.0,xl,deep,0.5636963267933648
2022,1.0,xl,front,0.6883231941926278
2022,1.0,xl,mid,0.7160927932709455
2022,1.0,xl,red,0.7048924257978797
2022,1.0,xlplus,back,0.7455810251934775
2022,1.0,xlplus,deep,0.6604127007372239
2022,1.0,xlplus,front,0.7819010586692736
2022,1.0,xlplus,mid,0.7795155541527838
2022,1.0,xlplus,red,0.7618370387289259
2022,2.0,long,back,0.6833548853185479
2022,2.0,long,deep,0.6258986702899343
2022,2.0,long,front,0.697923878594307
2022,2.0,long,mid,0.6965147000958163
2022,2.0,long,red,0.7125760056589748
2022,2.0,med,back,0.6080776336241916
2022,2.0,med,deep,0.5940277641272451
2022,2.0,med,front,0.5912669386619177
2022,2.0,med,mid,0.6055178820448263
2022,2.0,med,red,0.6062458965541988
2022,2.0,short,back,0.40763246770849965
2022,2.0,short,deep,0.4243643954396248
2022,2.0,short,front,0.3728581012027072
2022,2.0,short,mid,0.4200495086931595
2022,2.0,short,red,0.3973962427046376
2022,2.0,xl,back,0.8089670167600407
2022,2.0,xl,deep,0.7242845584136935
2022,2.0,xl,front,0.8098403621020157
2022,2.0,xl,mid,0.8211523682943412
2022,2.0,xl,red,0.8260873901935024
2022,2.0,xlplus,back,0.835548504076389
2022,2.0,xlplus,deep,0.7708412140997407
2022,2.0,xlplus,front,0.8486913698522941
2022,2.0,xlplus,mid,0.8431933611521826
2022,2.0,xlplus,red,0.8730453903024847
2022,3.0,long,back,0.9594182318546146
2022,3.0,long,deep,0.91819199925179
2022,3.0,long,front,0.9382695692399191
2022,3.0,long,mid,0.960355378869994
2022,3.0,long,red,0.9537619142931827
2022,3.0,med,back,0.9564130509161518
2022,3.0,med,deep,0.9130392543439354
2022,3.0,med,front,0.9082244123468404
2022,3.0,med,mid,0.9400508051355561
2022,3.0,med,red,0.9260404688261804
2022,3.0,short,back,0.6120992477913954
2022,3.0,short,deep,0.6584431134992176
2022,3.0,short,front,0.5291393673073906
2022,3.0,short,mid,0.5839420757368463
2022,3.0,short,red,0.5565986798736519
2022,3.0,xl,back,0.9506118926055291
2022,3.0,xl,deep,0.892749041611073
2022,3.0,xl,front,0.9231062774511583
2022,3.0,xl,mid,0.9487853583155407
2022,3.0,xl,red,0.9177229459655573
2022,3.0,xlplus,back,0.8641269879285679
2022,3.0,xlplus,deep,0.83407772158583
2022,3.0,xlplus,front,0.8921347125325092
2022,3.0,xlplus,mid,0.9327520120923765
2022,3.0,xlplus,red,0.9081901636990634
2022,4.0,long,back,0.9355377072379703
2022,4.0,long,deep,0.8119518756866455
2022,4.0,long,front,0.9735487341880799
2022,4.0,long,mid,0.913808388710022
2022,4.0,long,red,0.9860653758049012
2022,4.0,med,back,0.8456902044160025
2022,4.0,med,deep,0.4803473502397537
2022,4.0,med,front,0.881077228442711
2022,4.0,med,mid,0.9012330943538297
2022,4.0,med,red,0.95117227282635
2022,4.0,short,back,0.33268431013121325
2022,4.0,short,deep,0.5056315585970879
2022,4.0,short,front,0.49736230047933894
2022,4.0,short,mid,0.4989748028321908
2022,4.0,short,red,0.46714138042893305
2022,4.0,xl,back,0.8794630726178487
2022,4.0,xl,deep,0.588155560195446
2022,4.0,xl,front,0.9272202203671137
2022,4.0,xl,mid,0.9347900915890932
2022,4.0,xl,red,0.941815360025926
2022,4.0,xlplus,back,0.791687720351749
2022,4.0,xlplus,deep,0.8496352665954165
2022,4.0,xlplus,front,0.9750031696425544
2022,4.0,xlplus,mid,0.868870844061558
2022,4.0,xlplus,red,0.9882937669754028
2022,,short,front,
2022,,short,mid,
2022,,short,red,
2022,,short,unk,
2023,1.0,long,back,0.5424560798614275
2023,1.0,long,deep,0.4570984550269253
2023,1.0,long,front,0.5136494911991681
2023,1.0,long,mid,0.5415388527315113
2023,1.0,long,red,0.46764022265116656
2023,1.0,med,back,0.5305938133687684
2023,1.0,med,deep,0.4100138936191797
2023,1.0,med,front,0.5337280539217694
2023,1.0,med,mid,0.555879946140682
2023,1.0,med,red,0.43478929381768944
2023,1.0,short,red,0.34495236491784453
2023,1.0,xl,back,0.6791964203727489
2023,1.0,xl,deep,0.5966688188222738
2023,1.0,xl,front,0.6935836639044419
2023,1.0,xl,mid,0.7128601868266928
2023,1.0,xl,red,0.6432399118230456
2023,1.0,xlplus,back,0.7333089391651907
2023,1.0,xlplus,deep,0.6661374803384145
2023,1.0,xlplus,front,0.7612294687165154
2023,1.0,xlplus,mid,0.7702226061047169
2023,1.0,xlplus,red,0.7629985979625157
2023,2.0,long,back,0.681878625910134
2023,2.0,long,deep,0.6222747851271845
2023,2.0,long,front,0.6937373739797058
2023,2.0,long,mid,0.6928227435736645
2023,2.0,long,red,0.6996919032685536
2023,2.0,med,back,0.605849160516262
2023,2.0,med,deep,0.579525568079753
2023,2.0,med,front,0.586865706868597
2023,2.0,med,mid,0.5960581002569137
2023,2.0,med,red,0.6015826099962606
2023,2.0,short,back,0.40443194029869234
2023,2.0,short,deep,0.4099891538567403
2023,2.0,short,front,0.3878002001534729
2023,2.0,short,mid,0.4189977418107802
2023,2.0,short,red,0.40145799954144556
2023,2.0,xl,back,0.8028176088152187
2023,2.0,xl,deep,0.7028663891833276
2023,2.0,xl,front,0.8029584619992723
2023,2.0,xl,mid,0.7990877209967354
2023,2.0,xl,red,0.8066782058440438
2023,2.0,xlplus,back,0.8243757705011311
2023,2.0,xlplus,deep,0.7584210816206354
2023,2.0,xlplus,front,0.8486318117938936
2023,2.0,xlplus,mid,0.8762082331108324
2023,2.0,xlplus,red,0.8758506801995364
2023,3.0,long,back,0.9639900542447725
2023,3.0,long,deep,0.9342824079982051
2023,3.0,long,front,0.9357523447878875
2023,3.0,long,mid,0.9578058636473632
2023,3.0,long,red,0.9442973776658377
2023,3.0,med,back,0.9522434369420976
2023,3.0,med,deep,0.9483119230010087
2023,3.0,med,front,0.9135209186037756
2023,3.0,med,mid,0.9420263437161813
2023,3.0,med,red,0.9342140759251037
2023,3.0,short,back,0.6245684334506353
2023,3.0,short,deep,0.6404846817578959
2023,3.0,short,front,0.5506383559603323
2023,3.0,short,mid,0.614550806113941
2023,3.0,short,red,0.5636522316606716
2023,3.0,xl,back,0.9410800678782504
2023,3.0,xl,deep,0.8901919535562104
2023,3.0,xl,front,0.9202692960539172
2023,3.0,xl,mid,0.9487754852085362
2023,3.0,xl,red,0.9328491409779877
2023,3.0,xlplus,back,0.8618519099621937
2023,3.0,xlplus,deep,0.8301962479561954
2023,3.0,xlplus,front,0.8926268609202638
2023,3.0,xlplus,mid,0.9211926570510477
2023,3.0,xlplus,red,0.9110634848475456
2023,4.0,long,back,0.8880379378795624
2023,4.0,long,deep,0.5354548692703247
2023,4.0,long,front,0.9636489817729363
2023,4.0,long,mid,0.9593524441999548
2023,4.0,long,red,0.971800684928894
2023,4.0,med,back,0.8419796444475651
2023,4.0,med,deep,0.8001507297158241
2023,4.0,med,front,0.8970936464057082
2023,4.0,med,mid,0.8846899656688466
2023,4.0,med,red,0.9553311356278353
2023,4.0,short,back,0.449827727639959
2023,4.0,short,deep,0.5300227198749781
2023,4.0,short,front,0.5059869973301199
2023,4.0,short,mid,0.48807239548580067
2023,4.0,short,red,0.4724793265142092
2023,4.0,xl,back,0.8833689292271932
2023,4.0,xl,deep,0.855253130197525
2023,4.0,xl,front,0.9627111494541168
2023,4.0,xl,mid,0.9388503953814507
2023,4.0,xl,red,0.7939922511577606
2023,4.0,xlplus,back,0.9619620868137905
2023,4.0,xlplus,deep,0.7810754340428573
2023,4.0,xlplus,front,0.9783807992935181
2023,4.0,xlplus,mid,0.9476111658981868
2023,4.0,xlplus,red,0.98908931016922
2023,,short,front,
2023,,short,mid,
2023,,short,red,
2023,,short,unk,
2024,1.0,long,back,0.5376359433904986
2024,1.0,long,deep,0.4570589877907389
2024,1.0,long,front,0.512884135453458
2024,1.0,long,mid,0.5509431133676013
2024,1.0,long,red,0.4734230712454106
2024,1.0,med,back,0.4868657425045967
2024,1.0,med,deep,0.4927277658134699
2024,1.0,med,front,0.5364944663914767
2024,1.0,med,mid,0.5398000756899516
2024,1.0,med,red,0.43812390874258333
2024,1.0,short,red,0.3297820038159634
2024,1.0,xl,back,0.723528130634411
2024,1.0,xl,deep,0.5582664990081236
2024,1.0,xl,front,0.704413253980786
2024,1.0,xl,mid,0.7125027724254278
2024,1.0,xl,red,0.6813924243283827
2024,1.0,xlplus,back,0.7346152214828982
2024,1.0,xlplus,deep,0.6121893698563341
2024,1.0,xlplus,front,0.755619710078463
2024,1.0,xlplus,mid,0.7615073689005591
2024,1.0,xlplus,red,0.730273887515068
2024,2.0,long,back,0.6785157225402967
2024,2.0,long,deep,0.6224428115373438
2024,2.0,long,front,0.6916687071042241
2024,2.0,long,mid,0.7033196378933139
2024,2.0,long,red,0.7101038584345682
2024,2.0,med,back,0.6084779661234732
2024,2.0,med,deep,0.5849131642671829
2024,2.0,med,front,0.5883976089263067
2024,2.0,med,mid,0.6092578548368541
2024,2.0,med,red,0.6046390039960652
2024,2.0,short,back,0.4057523642814225
2024,2.0,short,deep,0.3751686075420091
2024,2.0,short,front,0.3907247114142305
2024,2.0,short,mid,0.3907976397995876
2024,2.0,short,red,0.4002892830334029
2024,2.0,xl,back,0.807738753830094
2024,2.0,xl,deep,0.7166216027278166
2024,2.0,xl,front,0.8129137379695491
2024,2.0,xl,mid,0.8248591377830122
2024,2.0,xl,red,0.8226846129782782
2024,2.0,xlplus,back,0.8281145675248833
2024,2.0,xlplus,deep,0.7243845221243407
2024,2.0,xlplus,front,0.8358312794252446
2024,2.0,xlplus,mid,0.8500882550535431
2024,2.0,xlplus,red,0.8493927623096266
2024,3.0,long,back,0.9656731953755731
2024,3.0,long,deep,0.9393191284166192
2024,3.0,long,front,0.9461178207041129
2024,3.0,long,mid,0.970669312970941
2024,3.0,long,red,0.9627474936251902
2024,3.0,med,back,0.9506925928792451
2024,3.0,med,deep,0.9270990589147161
2024,3.0,med,front,0.9183862930836363
2024,3.0,med,mid,0.9396172490395955
2024,3.0,med,red,0.9211206929558337
2024,3.0,short,back,0.6205411385182167
2024,3.0,short,deep,0.6035142109311861
2024,3.0,short,front,0.5589825328448158
2024,3.0,short,mid,0.6071323521850671
2024,3.0,short,red,0.5747686975690371
2024,3.0,xl,back,0.9438168474686183
2024,3.0,xl,deep,0.884245969271392
2024,3.0,xl,front,0.9275467226341847
2024,3.0,xl,mid,0.9542331953585406
2024,3.0,xl,red,0.9413321788640733
2024,3.0,xlplus,back,0.8617272996016451
2024,3.0,xlplus,deep,0.7876717240273298
2024,3.0,xlplus,front,0.8582331657136252
2024,3.0,xlplus,mid,0.9218949324022683
2024,3.0,xlplus,red,0.8933049355234418
2024,4.0,long,back,0.8909844443911598
2024,4.0,long,deep,0.7787661850452423
2024,4.0,long,front,0.9729393348097801
2024,4.0,long,mid,0.9220204861725078
2024,4.0,long,red,0.9811555201357062
2024,4.0,med,back,0.8336353543258849
2024,4.0,med,deep,0.7646737024188042
2024,4.0,med,front,0.9218279868364334
2024,4.0,med,mid,0.9127018415784262
2024,4.0,med,red,0.9299259001300448
2024,4.0,short,back,0.3326943137793131
2024,4.0,short,deep,0.376271852850914
2024,4.0,short,front,0.5279490026423168
2024,4.0,short,mid,0.4952075412320025
2024,4.0,short,red,0.5220955835535512
2024,4.0,xl,back,0.8635600349482369
2024,4.0,xl,deep,0.42031242450078327
2024,4.0,xl,front,0.9029072759782567
2024,4.0,xl,mid,0.9710762286186219
2024,4.0,xl,red,0.9814021587371826
2024,4.0,xlplus,back,0.749463368545879
2024,4.0,xlplus,deep,0.7229282613843679
2024,4.0,xlplus,front,0.9369128261293683
2024,4.0,xlplus,mid,0.9636305678974498
2024,4.0,xlplus,red,0.9765872657299042
2024,,short,front,
2024,,short,mid,
2024,,short,red,
2024,,short,unk,
